key,name,iataCode,webSite,type,foundationMoment,email,contactPhone
airline-01,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"

# restricciones name
# valor medio
airline-02,"Lorem ipsum dolor sit ame","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# vacío
airline-03,"","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo - delta
airline-04,"","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo
airline-05,"L","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo + delta
airline-06,"Lor","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo - delta
airline-07,"Lorem ipsum dolor sit amet; consectetur adipiscin","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo
airline-08,"Lorem ipsum dolor sit amet; consectetur adipiscing","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo + delta
airline-09,"Lorem ipsum dolor sit amet; consectetur adipiscing*","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# caracteres no latinos
airline-10,"โลเร็ม อิปซัม","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-11,"لوريم إيبسوم","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-12,"洛伦·伊普森","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# inyecciones
airline-13,"<marquee>Hacked</marquee>","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-14,"<script>alert(‘Hacked!’);</script>","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-15,"'' or 'A' = 'A","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"

# restricciones iataCode
# valor medio
airline-16,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# vacío
airline-17,"Barajas","","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo - delta
airline-18,"Barajas","AB","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo
airline-19,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor mínimo + delta
airline-20,"Barajas","ABCD","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo - delta
airline-21,"Barajas","AB","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo
airline-22,"Barajas","ABC","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# valor máximo + delta
airline-23,"Barajas","ABCD","http://barajasaeropuerto.com",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"

# restricciones webSite
# valor medio
airline-24,"Barajas","ABC","http://lorem.com/ipsum",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
# singular
airline-25,"Barajas","ABC","ftp://a",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
airline-26,"Barajas","ABC","ftp://a.b",LUXURY,2008/02/02 00:00,"aeropuerto@acme.com","+34987654321"
