key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
# base entity
airport-01,"Airport1","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-02,"Airport2","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"

# name
airport-01,"Lorem ipsum dolor sit ame","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-02,"L","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-03,"Lo","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-06,"โลเร็ม อิปซัม","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-07,"لوريم إيبسوم","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-08,"洛伦·伊普森","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-09,"<marquee>Hacked</marquee>","ABC",REGIONAL,"Seville","Spain","ftp://a","prueba@gmail.com","+34987654321"
airport-10,"<script>alert(‘Hacked!’);</script>","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-11,"' or 'A' = 'A ","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"

# iataCode
airport-12,"Airport2","AAA",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-13,"Airport2","ZZZ",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"

# operationalScope
airport-14,"Airport2","BBB",INTERNATIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-15,"Airport2","BBB",DOMESTIC,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-16,"Airport2","BBB",REGIONAL,"Seville","Spain","ftp://b","prueba2@gmail.com","+34987654322"

# city
airport-17,"Airport2","BBB",REGIONAL,"Lorem ipsum dolor sit ame","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-18,"Airport2","BBB",REGIONAL,"L","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-19,"Airport2","BBB",REGIONAL,"Lo","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-20,"Airport2","BBB",REGIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-21,"Airport2","BBB",REGIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-22,"Airport2","BBB",REGIONAL,"โลเร็ม อิปซัม","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-23,"Airport2","BBB",REGIONAL,"لوريم إيبسوم","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-24,"Airport2","BBB",REGIONAL,"洛伦·伊普森","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-25,"Airport2","BBB",REGIONAL,"<marquee>Hacked</marquee>","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-26,"Airport2","BBB",REGIONAL,"<script>alert(‘Hacked!’);</script>","Spain","ftp://b","prueba2@gmail.com","+34987654322"
airport-27,"Airport2","BBB",REGIONAL,"' or 'A' = 'A ","Spain","ftp://b","prueba2@gmail.com","+34987654322"

# country
airport-28,"Airport1","ABC",REGIONAL,"Seville","Lorem ipsum dolor sit ame","ftp://a","prueba@gmail.com","+34987654321"
airport-29,"Airport1","ABC",REGIONAL,"Seville","L","ftp://a","prueba@gmail.com","+34987654321"
airport-30,"Airport1","ABC",REGIONAL,"Seville","Lo","ftp://a","prueba@gmail.com","+34987654321"
airport-31,"Airport1","ABC",REGIONAL,"Seville","Lorem ipsum dolor sit amet, consectetur adipiscin","ftp://a","prueba@gmail.com","+34987654321"
airport-32,"Airport1","ABC",REGIONAL,"Seville","Lorem ipsum dolor sit amet, consectetur adipiscing","ftp://a","prueba@gmail.com","+34987654321"
